user_id,n,rmse_selected,rmse_base,rmse_cluster,improvement
U125,4669.0,210.61065832018147,210.61065832018147,157.26728373881832,0.0
U137,32256.0,0.4682985562357351,0.6930384069667888,0.4682985562357351,0.22473985073105368
U14,32063.0,5.197649411479363,6.041634397842501,5.197649411479363,0.8439849863631386
U19,11135.0,0.4859222243866932,0.621930261747121,0.4859222243866932,0.13600803736042777
U228,4669.0,15.762295594317507,15.762295594317507,19.410642291683185,0.0
U266,11136.0,20.270783282267427,20.270783282267427,26.27523726856792,0.0
U268,32064.0,99.52127571424046,85.99971400193459,99.52127571424046,-13.521561712305868
U354,32063.0,4.472395362965905,4.472395362965905,3.5344805235229377,0.0
U376,11136.0,22.310002088693615,22.310002088693615,83.29068428894702,0.0
U382,11136.0,7.6746900969006395,8.360836857758876,7.6746900969006395,0.6861467608582368
U50,11135.0,23.686333778575875,23.686333778575875,27.041754381818347,0.0
