candidate,file,rows,with_truth,global_rmse,global_mae,event_rmse,event_mae
submission_final,xgb_ct1_pred_final_peakfallback.csv,193462,193462,43.183988776467636,9.308056726550403,44.016073521935155,8.198162546053949
peakfallback_final,xgb_ct1_pred_final_peakfallback.csv,193462,193462,43.183988776467636,9.308056726550403,44.016073521935155,8.198162546053949
merged_regime_fixed_u268patched,xgb_ct1_pred_final_ensemble_regime_fixed_merged_u268patched.csv,193462,193462,43.206985356588454,9.250475587269754,44.081850069978984,8.106983059061056
final_ensemble_patched,xgb_ct1_pred_final_ensemble_patched.csv,193462,193462,43.21238672451764,9.303139448952976,44.04587415073157,8.19803436500424
merged_regime_fixed,xgb_ct1_pred_final_ensemble_regime_fixed_merged.csv,193462,193462,43.21238672451764,9.303139448952976,44.04587415073157,8.19803436500424
global_baseline,xgb_ct1_predictions.csv,193462,193462,48.993638701601014,10.294825795060243,54.13437568161606,10.03822434342005
cluster_ensemble,xgb_ct1_pred_cluster_ensemble.csv,193462,193462,52.33248157663401,11.387898102882087,51.796570741794476,10.961545174122314
user_blend,xgb_ct1_pred_user_blend.csv,193462,193462,53.257167436544826,11.320087007679467,56.64963426255069,11.38667832013475
blend_alpha,xgb_ct1_pred_blend_alpha.csv,193462,193462,61.21765800978991,13.183630193773423,64.79155480545005,13.550784631021799
pred_tuned,xgb_ct1_pred_tuned.csv,193462,193462,61.21765800978991,13.183630193773423,64.79155480545005,13.550784631021799
final_ensemble,xgb_ct1_pred_final_ensemble.csv,193462,193462,85.04153688481314,15.571223619216967,94.08038055288628,15.99862588305776
